City,Industry,Average_Salary
Columbus,"Accounting, Banking & Finance",74141.66666666667
"Shaker Hts",Nonprofits,37000
Charleston,"Engineering or Manufacturing",70000
Austin,"Media & Digital",63452
helsinki,"Health care",30.59
Madison,"Engineering or Manufacturing",72974.125
Mishawaka,"Marketing, Advertising & PR",35000
Tulsa,"Accounting, Banking & Finance",66000
Tampa,"Engineering or Manufacturing",109916.66666666667
Philadelphia,Nonprofits,62709.023255813954
Denver,"Computing or Tech",126275.13414634146
Lambertville,Architecture,58000
Chatham,"Marketing, Advertising & PR",400000
Skokie,Nonprofits,61200
London,"Marketing, Advertising & PR",39059.674999999996
Alpharetta,"Recruitment or HR",66000
"Northeast Florida","Property or Construction",75500
Richmond,"Marketing, Advertising & PR",55875
"New York City","Marketing, Advertising & PR",112407.125
"Altamonte Springs",Retail,31200
Brighton,"Health care",22735.934999999998
Chicago,"Academic Medicine",55000
"San Francisco",Law,173705.88235294117
Chicago,Retail,79877.71428571429
Portland,"Computing or Tech",125274.80916030535
"El Paso","Education (Higher Education)",53250
"Research Triangle region","Education (Higher Education)",52500
Lyon,"Media & Digital",26220
Seattle,"Engineering or Manufacturing",113610
"San Diego","Computing or Tech",115079
"Washington, DC",Nonprofits,87481.4623655914
Indianapolis,"Hospitality & Events",66950
Merced,"Government and Public Administration",92500
Aberdeen,"Engineering or Manufacturing",41082
Pittsburgh,Nonprofits,57650.52631578947
Birmingham,"Education (Higher Education)",41993.28323076923
Omaha,"Engineering or Manufacturing",90333.33333333333
Gorham/Portland,"Education (Higher Education)",34299
London,"Computing or Tech",66921.61420155039
Westchester/NYC,"Education (Higher Education)",50000
"San Jose",Retail,87000
"Washington, DC",Law,159640
Dallas,"Commercial Real Estate",55000
Minneapolis,Law,97068.85
Boston,"Pet care industry (dog training/walking)",48500
Grandville,Law,54080
"New York",Insurance,196500
"Remote Worker","Marketing, Advertising & PR",81600
Houston,"Education (Primary/Secondary)",54488.78571428572
"Eau Claire","Health care",82160
buffalo,"Recruitment or HR",79250
"West Lafayette","Engineering or Manufacturing",74350
"Washington, DC",Politics,77500
Glasgow,"University administration",18610.146
"Too identifiable","Government and Public Administration",44308
"New York","Government and Public Administration",104427.83333333333
Braintree,"Business or Consulting",62000
Clinton,"Animal Health Product Manufacturing",75000
"New York","Education (Primary/Secondary)",79834.1
Raleigh,"Computing or Tech",102949.53846153847
Columbia,"Property or Construction",45750
Woburn,"Health care",76000
Boston,"Health care",98800.03896103895
Anaheim,"Accounting, Banking & Finance",45760
Orlando,"Marketing, Advertising & PR",49500
Calgary,"Engineering or Manufacturing",114188.31999999999
Appleton,"Education (Higher Education)",46500
London,Sales,31632.525
Bloomington,"Educational Technology - hybrid between book publishing and technology really",67000
Chattanooga,Law,124000
Jacksonville,"Property or Construction",43146.666666666664
Seattle,"Computing or Tech",159084.232
Memphis,"Health care",47600
Boston,Law,131281.33333333334
Pittsburgh,"Utilities & Telecommunications",94940
Durham,Pharmaceuticals,125000
Stamford,"Education (Primary/Secondary)",94000
"Rural Ontario","Health care",141440
Newport,"Government and Public Administration",68666.66666666667
"Los Angeles",Nonprofits,76534.75609756098
"New Brunswick","Education (Higher Education)",59500
"Chicago area mostly, but also the US and Canada","Recruitment or HR",135000
Spokane,"Education (Higher Education)",53691.666666666664
Durham,Nonprofits,60285.8
Philadelphia,"Marketing, Advertising & PR",83136.36363636363
"Greater Boston area","Government and Public Administration",75000
"Chicago (remote)","Computing or Tech",110000
"Rapid City","Agriculture or Forestry",29000
"Mount Prospect","Marketing, Advertising & PR",61000
"Huntington (remote, HQ is in Charleston)",Nonprofits,47250
"St. Paul","Engineering or Manufacturing",88720.8
Düsseldorf,"Computing or Tech",83584.99
Scranton,Nonprofits,45000
Washington,Philanthropy,72000
"Washington, DC","Government and Public Administration",99495.72222222222
"New York City","Accounting, Banking & Finance",122609.64516129032
Remote,"Computing or Tech",125458.82352941176
Minneapolis,"Marketing, Advertising & PR",85980
Charlotte,"Accounting, Banking & Finance",91153.33333333333
Flagstaff,"Education (Higher Education)",61333.333333333336
Philadelphia,"Engineering or Manufacturing",96012.4
Carlinville,"Education (Higher Education)",45000
Chaska,"Engineering or Manufacturing",117000
"Omaha, NE",Insurance,48500
Sacramento,"Real Estate",90000
"Western Mass","Education (Higher Education)",120000
"New York","Education (Higher Education)",91231.42857142857
Calgary,"Property or Construction",77180
"New York","Transport or Logistics",111356.25
Joliet,"Transport or Logistics",68000
"Shingle Springs","Engineering or Manufacturing",47840
"Plant City",Consulting,150000
Atlanta,"Environmental Consulting",105000
NYC,"Accounting, Banking & Finance",133166.66666666666
Lisle,"Engineering or Manufacturing",97500
Salem,"Health care",119333.33333333333
Platteville,"Government and Public Administration",63000
"Remote (live in Nottingham)",Sales,36900
Denver,"Archaeology / Cultural Resource Management",79000
Suitland,Museum,52000
Suitland,"Government and Public Administration",111771.75
London,"Education (Higher Education)",39565.48022222222
Atlanta,"Media & Digital",81428.57142857143
"New York","Public library",56243.666666666664
Rockville,Biotech,102366.66666666667
Winnipeg,"Education (Higher Education)",96288
Toronto,"Government and Public Administration",114011.435
Indianapolis,"Accounting, Banking & Finance",75221.8
Boston,"Government and Public Administration",86125.48
Boston,"Recruitment or HR",80873.80952380953
Dublin,"Transport or Logistics",42763.072
"North East","Agriculture or Forestry",17000
Baltimore,"Government and Public Administration",78972.94444444444
"Houston Area","Property or Construction",66000
Pittsburgh,"Engineering or Manufacturing",96702.14285714286
NYC,"Government and Public Administration",82600
Milwaukee,"Health care",88680.22222222222
Charlottesville,"Accounting, Banking & Finance",82080
"Idaho Falls","Recruitment or HR",79410
Washington,"Education (Higher Education)",74364.28571428571
ROCHESTER,Nonprofits,159157.14285714287
"Metro Boston","Computing or Tech",156000
"Twin cities metro area","Computing or Tech",96000
Washington,"Public Library",75000
Dallas,"Computing or Tech",113051.4705882353
Duluth,"Education (Higher Education)",38480
"South Hadley",Nonprofits,36000
"DFW area","Government and Public Administration",49600
Houston,"Accounting, Banking & Finance",89536.11111111111
Chicago,"Social Work",50400
Sacramento,Nonprofits,80222.22222222222
"North Andover","Health care",43680
Dallas,"Transport or Logistics",104000
Bellevue,Nonprofits,63428
Glasgow,"Engineering or Manufacturing",28191.6
Ottawa,"Government and Public Administration",130012.51932203391
Suwanee,"Education (Primary/Secondary)",75000
Glasgow,Nonprofits,28597.5
Raleigh,"Agriculture or Forestry",81500
"St. Louis","Property or Construction",80166.66666666667
Salem,"Media & Digital",50500
Dayton,"Public Library",39000
Fairfield,"Education (Higher Education)",99000
Orlando,"Property or Construction",81090
"New York city","Computing or Tech",153806.77064220182
Manchester,"Marketing, Advertising & PR",35096.333333333336
"New York","Media & Digital",108818.8953488372
Madison,"Computing or Tech",120121.67272727273
Pittsburgh,"Health care",92258.54166666667
DFW,"Engineering or Manufacturing",92000
Wilmington,"Industry unknown",72479.33333333333
Toronto,"Computing or Tech",140536.78105263156
"Cherry Hill","Accounting, Banking & Finance",130500
Montreal,Sales,66640
Cleveland,"Accounting, Banking & Finance",76301.15384615384
"Fully Remote (Greater Boston)","Accounting, Banking & Finance",155000
"Grand Rapids","Art & Design",55000
Milwaukee,"Engineering or Manufacturing",92983.33333333333
"St. Paul","Business or Consulting",80400
"New York City","Government Relations (Lobbying)",65000
"East Hanover",Nonprofits,42120
"District of Columbia","Business or Consulting",62500
"New Orleans","Computing or Tech",82643.33333333333
"Citrus Heights","Government and Public Administration",52000
"Jefferson City","Computing or Tech",87500
Portland,"Business or Consulting",103850
Naples,"Hospitality & Events",98500
"San Diego","Health care",85868.94117647059
Melbourne,"Computing or Tech",181489.05263157896
DC,Politics,72333.33333333333
Medina,"Health care",60000
"Prefer not to say (Montana is small!)","Government and Public Administration",52000
"El Paso","Government and Public Administration",57000
Lexington,"Accounting, Banking & Finance",36820
"La Crosse","Accounting, Banking & Finance",54000
Springfield,"Education (Higher Education)",60400
Milwaukee,"Education (Higher Education)",57145.166666666664
Canton,"Accounting, Banking & Finance",54333.333333333336
Toronto,Law,113714.25882352941
Washington,"Software as a Service SaaS",68000
Richardson,"Accounting, Banking & Finance",65000
Boston,"Public health in higher education",67000
"Panhandle region","Business or Consulting",75000
Glendale,"Business Services",50000
Golden,"Engineering or Manufacturing",88498.5
Charleston,"Property or Construction",52000
"Washington, DC","Accounting, Banking & Finance",118028.57142857143
"Bay Area","Computing or Tech",238625
"Des Moines","Business or Consulting",118400
Boston,"Law Enforcement & Security",49000
Houston,"Manufacturing and distributing",38800
Dublin,"Leisure, Sport & Tourism",27094
Richmond,"Computing or Tech",85628.57142857143
Atlanta,"Government and Public Administration",95568.15
"St. John's","Government and Public Administration",73440
"College Park","Government and Public Administration",116035.33333333333
Redding,Retail,40750
Philadelphia,Law,162660
"I work remotely",Law,120000
Madison,"Education (Primary/Secondary)",56500
Philadelphia,Sales,99000
"Springfield, IL","Computing or Tech",65000
Durham,"Computing or Tech",103733.8
Baltimore,"Utilities & Telecommunications",129550
Pune,"Computing or Tech",39785075
Wilmington,"Computing or Tech",164666.66666666666
"San Jose","Computing or Tech",163151.92307692306
Columbus,"Computing or Tech",89295.78947368421
Boston,"Accounting, Banking & Finance",118249.69230769231
"Columbia, SC","Engineering or Manufacturing",83500
"Bay Area","Food manufacturing",58240
"San Francisco Bay Area","Government and Public Administration",155000
Seattle,"Property or Construction",98535.23076923077
"Remote/ home","Utilities & Telecommunications",65000
"Washington DC","Marketing, Advertising & PR",100125
"Harrisonburg, VA","Education (Higher Education)",34000
Somerset,"Computing or Tech",78750
"San Francisco","Marketing, Advertising & PR",135405.2380952381
Victoria,"Government and Public Administration",117337.62666666665
Chicago,"Computing or Tech",124601.91366906474
Normal,"Education (Higher Education)",57987.5
Ontario,"Education (Higher Education)",124602.656
Seattle,Nonprofits,72384.18461538461
"Eglin AFB","Government and Public Administration",66805
"Work from home","Recruitment or HR",90000
Raleigh,"Business or Consulting",82000
"Grand Forks","Education (Higher Education)",54000
"Bloomfield Hills","Art & Design",36000
Pembroke,"Research and development",58000
Perth,"Health care",285593
Billingham,Pharmaceuticals,28486.8
Redmond,"Engineering or Manufacturing",130620
Toronto,"Consumer packaged goods",122400
Sunnyvale,"Engineering or Manufacturing",149333.33333333334
Annandale,Nonprofits,110000
"New York City",Nonprofits,85843.3698630137
Prineville,"Property or Construction",75000
Kalamazoo,"Education (Higher Education)",43512
Arlington,"Recruitment or HR",92500
Toronto,Entertainment,138720
"Overland Park","Business or Consulting",78000
"New York City",Entertainment,64500
Oakland,"Health care",108516.6
Rutland,"Engineering or Manufacturing",100000
Philadelphia,"Business or Consulting",106970
Ames,"Education (Higher Education)",62229.8
Guelph,"Agriculture or Forestry",111520
"Ann Arbor area","Engineering or Manufacturing",65000
"Los Angeles","Hospitality & Events",112500
Charlotte,Retail,93600
"Verysmall town","Media & Digital",40000
London,"Media & Digital",37602.54391304348
Rockland,Retail,47840
Concord,Nonprofits,70020
"South Bend",Law,54958.5
"Siloam Springs","Education (Primary/Secondary)",53000
Irvine,"Engineering or Manufacturing",85296.42857142857
Nashville,"Government and Public Administration",65986.16666666667
princeton,"Health care",116333.33333333333
"Des Moines","Engineering or Manufacturing",64000
Winnipeg,"Computing or Tech",150688
"Twin Cities suburbs","B2B Services",115000
Cincinnati,"Computing or Tech",90869.11111111111
Cincinnati,Sales,64500
Montgomery,"Accounting, Banking & Finance",70000
Leesburg,Nonprofits,72000
Houston,"Oil and Gas",106750
Athlone,"Marketing, Advertising & PR",39330
Houston,"Government and Public Administration",86283.5625
Austin,Nonprofits,81670.72727272728
"Los Angeles",Entertainment,110371.45833333333
London,"Accounting, Banking & Finance",51285.1399
Dallas,"Health care",77435
"Washington DC","Media & Digital",91666.66666666667
Duluth,"Engineering or Manufacturing",73500
Bloomington,"Recruitment or HR",40000
Vancouver,"Business or Consulting",88196.50666666667
Madison,"Government and Public Administration",63532.07692307692
Toronto,"Heritage/Public History",51000
"Port Carling, Muskoka, Ontario",Nonprofits,81600
Dallas,"Engineering or Manufacturing",89928.4375
Baltimore,"Computing or Tech",105935.38461538461
"Saint Paul","Social Work",70000
Philadelphia,"Accounting, Banking & Finance",97491.66666666667
Carpinteria,"Accounting, Banking & Finance",50000
No,"Health care",90000
"Waterloo, ON","Education (Higher Education)",95200
Albany,"Education (Higher Education)",55025
Memphis,"Education (Higher Education)",55902.42857142857
LA,"Education (Higher Education)",70000
"Toronto, ON","Accounting, Banking & Finance",97580
Ridgecrest,"Engineering or Manufacturing",118000
Pittsburgh,Law,83333.33333333333
Everett,"Government and Public Administration",93190.66666666667
Denver,"Media & Digital",74157.72727272728
Miami,Insurance,66900
NYC,"Media & Digital",103940.68965517242
"East Stroudsburg","Engineering or Manufacturing",65000
Chicago,Nonprofits,72276.34736842105
"St Louis","Business or Consulting",140000
"Twin Falls","Accounting, Banking & Finance",53000
Austin,"Government and Public Administration",69246.20689655172
Manassas,"Computing or Tech",123000
Richmond,"Education (Higher Education)",69839.57142857143
"Lake Mills","Education (Primary/Secondary)",37000
Ripon,Manufacturing,70000
Lansing,"Education (Higher Education)",65625
"Cornwall, Ontario","Health care",68000
Pittsburgh,"Accounting, Banking & Finance",81136.5
"Las vegas",Insurance,65000
Philadelphia,"Media & Digital",80532
"Las Vegas (Techinically remote)","Computing or Tech",105000
Cambridge,Nonprofits,81435
Ottawa,"Leisure, Sport & Tourism",68000
Albany,"Engineering or Manufacturing",79784.8
"San Francisco Bay Area","Accounting, Banking & Finance",55000
Saskatoon,"Health care",116957.95999999999
Chicago,"Media & Digital",73838.34782608696
RICHMOND,"Veterinary medicine",108000
"Oak Park","Accounting, Banking & Finance",40000
Detroit,Insurance,100333.33333333333
"Kansas City","Computing or Tech",100439.21739130435
Ironwood,"Government and Public Administration",75000
"St. Paul","Government and Public Administration",79550.57142857143
Fairfax,Nonprofits,43000
Huntsville,"Engineering or Manufacturing",94170.2
Exton,"Transport or Logistics",58327
"Fort Smith","Computing or Tech",144000
"Lake Forest","Engineering or Manufacturing",67750
Toronto,"Health care",107106.4192
Wilmington,"Accounting, Banking & Finance",104312.5
Bozeman,"Education (Higher Education)",35140
"Albany, NY","Education (Higher Education)",48500
"City of Buenos Aires","Health care",1080000
"Walnut Creek, California",Nonprofits,154000
Leeds,"Food Production/Processing",21402
Bethesda,Nonprofits,90428.57142857143
"Tallahassee, FL","Education (Higher Education)",53000
"Washington, DC",Libraries,56851
"Kansas City",Retail,68000
Denver,"Recruitment or HR",99625
Bloomington,Insurance,86540.14285714286
Vancouver,"Government and Public Administration",106669.9
Cincinnati,"Engineering or Manufacturing",77500
"East Hampton",Nonprofits,52000
"Washington, DC.","Marketing, Advertising & PR",37440
Minneapolis,"Accounting, Banking & Finance",89073.57142857143
Portsmouth,"Engineering or Manufacturing",134167.5
Indianapolis,"Government and Public Administration",59348.444444444445
Montgomery,"Education (Primary/Secondary)",51000
"Camp Hill","Health Insurance",72000
Springfield,"Education (Primary/Secondary)",35406.333333333336
Utrecht,"Leisure, Sport & Tourism",19151.088
Houston,"Computing or Tech",120320
"Washington DC","Government contractor",105000
Seattle,"Art & Design",85454.54545454546
Phoenix,"Property or Construction",44900
London,"Engineering or Manufacturing",54019.683333333334
Lawrence,"Education (Higher Education)",63075
Bothell,"Health care",110000
"San Diego",Retail,66767.5
Rochester,"Industry unknown",82000
Atlanta,"Public health",59000
"Philly 'burbs","Media & Digital",40000
London,"Government and Public Administration",33960.50538461539
Lansing,Nonprofits,42750
"Kansas City","Social Work",36657.5
Cleveland,Nonprofits,59782.09523809524
"San Diego","Renewable energy",127500
"Ann Arbor","Recruitment or HR",91300
Lebanon,"Health care",66913
Dayton,"Engineering or Manufacturing",72811.42857142857
"Chilliwack, BC","Engineering or Manufacturing",152320
Newark,Nonprofits,77964.28571428571
Houston,"Utilities & Telecommunications",138145
Buffalo,"Social Work",42500
Houston,Law,121994.11764705883
Bethlehem,"Education (Higher Education)",65571.42857142857
"Los Angeles","Marketing, Advertising & PR",99955.75757575757
London,"Business or Consulting",56246.67
Boulder,"Art & Design",80000
Scranton,"Hospitality & Events",62622.5
Boston,"Marketing, Advertising & PR",95727.78571428571
Minneapolis,Insurance,85333.33333333333
"Lake Zurich",Insurance,56500
Flemington,"Accounting, Banking & Finance",53040
Winnipeg,Nonprofits,93840
"Estevan, Saskatchewan","Engineering or Manufacturing",129200
Newcastle,"Accounting, Banking & Finance",23800.5
Dallas,"Utilities & Telecommunications",128894
Phoenix,"Accounting, Banking & Finance",95243.15789473684
"This is too identifying","Education (Higher Education)",80000
Noble,publishing,83500
Princeton,Nonprofits,53040
"East Hartford",Aerospace,66000
Calgary,"Education (Higher Education)",87247.58285714287
Kalamazoo,"Government and Public Administration",89024
Middleton,"Government and Public Administration",42000
"Maple Grove","Utilities & Telecommunications",54000
"Atlanta metro area","Education (Higher Education)",44000
Seattle,"Accounting, Banking & Finance",93262.33333333333
Seattle,"Recruitment or HR",109830.22222222222
Montreal,"Marketing, Advertising & PR",76451.42857142857
Alexandria,"Business or Consulting",296750
"Victoria, BC, Canada","Government and Public Administration",86360
Aberdeen,"Government and Public Administration",66812.074
Belfast,"Computing or Tech",24669.495
Unknown,Libraries,61400
Buffalo,"Business or Consulting",62000
Spokane,"Accounting, Banking & Finance",57253.28571428572
Seattle,"Marketing, Advertising & PR",101354.05405405405
Bethesda,"Government and Public Administration",89168.22222222222
"San Francisco",Nonprofits,95343.17543859649
Portsmouth,"Government and Public Administration",113000
Chicago,"Hospitality & Events",220000
Chicago,"Government and Public Administration",81539.4
Louisville,Nonprofits,68840
Phoenix,Sales,160840
Pittsburgh,"Transport or Logistics",83700
"Newport beach",Law,120000
"South Texas","Education (Higher Education)",81000
columbus,Nonprofits,57552.94117647059
Nashville,Manufacturing,66250
Minneapolis,"Business or Consulting",87721.05263157895
Seattle,"Government and Public Administration",103292.04
Toronto,"Marketing, Advertising & PR",111259.76470588235
Kirtland,"Education (Primary/Secondary)",54000
Portland,Law,83899.16666666667
Saskatoon,"Engineering or Manufacturing",340000
Bellingham,"Health care",49000
Albany,"Computing or Tech",106661.8
Cincinnati,"Hospitality & Events",53166.666666666664
"New Haven","Education (Higher Education)",69540.05882352941
Columbus,"Education (Higher Education)",52477.28571428572
"Greater New Orleans Metro Region","Property or Construction",101000
Chicago,"Health care",96030.75
Cleveland,"Health care",107867
Lowell,"Media & Digital",74000
Waterloo,"Computing or Tech",176256
Omaha,"Marketing, Advertising & PR",68000
NYC,"Computing or Tech",165441.66666666666
Niles,"Health care",40000
Orlando,Law,110000
"New York","Health care",112829.5945945946
"Des Moines","Government and Public Administration",74411.3
Halifax,"Health care",91120
Glendale,"Public Library (technically City Govt.?)",76302
Wells,Law,14022
Honolulu,"Government and Public Administration",52820
Dearborn,"Engineering or Manufacturing",102500
Copenhagen,"Marketing, Advertising & PR",120000
Lexington,"Health care",51766.375
"would rather not say",Nonprofits,45000
Montreal,"Engineering or Manufacturing",133620
Augusta,"Government and Public Administration",68484.75
Baltimore,"Art & Design",58800
"St Louis","Accounting, Banking & Finance",63000
Schenectady,"Recruitment or HR",64000
"Washington, D.C.",Law,157008.33333333334
"Salt Lake City","Education (Higher Education)",55105.555555555555
"Las Cruces","Education (Higher Education)",44000
Atlanta,"Marketing, Advertising & PR",85310.52631578948
Fayetteville,"Education (Higher Education)",36865
"San Diego","Utilities & Telecommunications",128000
Trenton,"Education (Higher Education)",53000
Toronto,Space,102000
Oakland,"Business or Consulting",113533.33333333333
Utrecht,Nonprofits,64676
Alexandria,Nonprofits,99285.71428571429
"San Francisco","Business or Consulting",137006
Gaithersburg,"Marketing, Advertising & PR",68750
Annapolis,Law,89000
Broomfield,"Accounting, Banking & Finance",55325
"Mount Laurel","Education (Higher Education)",44500
Wilmington,Law,73333.33333333333
Indianapolis,"Engineering or Manufacturing",81517
Newton,Law,71000
"New Castle","Computing or Tech",65000
Nashville,"Business or Consulting",103480
Topeka,"Utilities & Telecommunications",71000
Brooklyn,Librarian,58000
Oxford,"Education (Higher Education)",42025.29066666667
Dallas,Nonprofits,61928.57142857143
"prefer not to say",Nonprofits,87500
Philadelphia,"Education (Primary/Secondary)",68519.55555555556
Somerville,Sales,52000
"San Francisco","Computing or Tech",172090.72180451127
"Auburn Hills",Sales,55000
Edmonton,"Computing or Tech",109606.93333333333
Moline,"Media & Digital",72000
Arlington,"Media & Digital",94600
"Los Angeles","Art & Design",89966.66666666667
Portland,"Accounting, Banking & Finance",78620.18518518518
Spartanburg,"Education (Higher Education)",47000
Amsterdam,"Business or Consulting",62928
Athens,"Engineering or Manufacturing",36118
Cincinnati,"Government and Public Administration",55833.333333333336
Bethlehem,"Engineering or Manufacturing",66000
"New Ulm","Accounting, Banking & Finance",62000
Rockville,"Government and Public Administration",97656.09090909091
Waco,Retail,32000
Boise,Nonprofits,57640.833333333336
"Falls Church","Business or Consulting",94230
"Los Angeles","Engineering or Manufacturing",115637.63333333333
Chicago,"Art & Design",79362.14285714286
"New York City","Utilities & Telecommunications",170000
Cambridge,"Media & Digital",38499.4
Truckee,"Hospitality & Events",47000
"Durham area","Government and Public Administration",64000
Plano,"Business or Consulting",90000
Toronto,Insurance,89173.704
Bedford,Insurance,59800
Philadelphia,"Recruitment or HR",82333.33333333333
"San Antonio","Recruitment or HR",44960
"Rochester Hills","Business or Consulting",60000
Reno,"Education (Higher Education)",60166.666666666664
"Saint Paul","Utilities & Telecommunications",58000
